datetime,predicted_price
2022-05-15 15:00:00,220.92096
2022-05-15 16:00:00,261.53323
2022-05-15 17:00:00,296.65402
2022-05-15 18:00:00,314.1244
2022-05-15 19:00:00,317.28516
2022-05-15 20:00:00,332.07388
2022-05-15 21:00:00,300.2126
2022-05-15 22:00:00,298.14584
2022-05-15 23:00:00,282.45633
2022-05-16 00:00:00,121.05165
2022-05-16 01:00:00,271.71777
2022-05-16 02:00:00,272.0928
2022-05-16 03:00:00,272.47232
2022-05-16 04:00:00,271.8396
2022-05-16 05:00:00,300.97787
2022-05-16 06:00:00,312.34863
2022-05-16 07:00:00,296.0883
2022-05-16 08:00:00,296.2693
2022-05-16 09:00:00,312.82883
2022-05-16 10:00:00,310.47406
2022-05-16 11:00:00,308.68454
2022-05-16 12:00:00,309.44022
2022-05-16 13:00:00,294.38327
2022-05-16 14:00:00,310.62955
2022-05-16 15:00:00,310.14264
2022-05-16 16:00:00,312.51865
2022-05-16 17:00:00,293.57962
2022-05-16 18:00:00,306.94983
2022-05-16 19:00:00,259.21738
2022-05-16 20:00:00,262.2052
2022-05-16 21:00:00,271.42078
2022-05-16 22:00:00,269.01022
2022-05-16 23:00:00,297.30582
2022-05-17 00:00:00,111.92889
2022-05-17 01:00:00,304.48557
2022-05-17 02:00:00,306.2089
2022-05-17 03:00:00,288.9858
2022-05-17 04:00:00,303.65485
2022-05-17 05:00:00,314.4606
2022-05-17 06:00:00,262.48212
2022-05-17 07:00:00,257.52933
2022-05-17 08:00:00,262.58618
2022-05-17 09:00:00,257.66174
2022-05-17 10:00:00,309.33157
2022-05-17 11:00:00,275.45364
2022-05-17 12:00:00,277.62558
2022-05-17 13:00:00,281.3799
2022-05-17 14:00:00,280.28113
2022-05-17 15:00:00,293.02512
2022-05-17 16:00:00,290.29587
2022-05-17 17:00:00,264.75766
2022-05-17 18:00:00,267.6476
2022-05-17 19:00:00,265.33612
2022-05-17 20:00:00,270.8913
2022-05-17 21:00:00,266.86597
2022-05-17 22:00:00,262.4711
2022-05-17 23:00:00,267.54953
2022-05-18 00:00:00,146.4455
2022-05-18 01:00:00,320.4776
2022-05-18 02:00:00,285.0934
2022-05-18 03:00:00,291.13184
2022-05-18 04:00:00,292.8235
2022-05-18 05:00:00,284.35367
2022-05-18 06:00:00,325.13065
2022-05-18 07:00:00,306.00552
2022-05-18 08:00:00,306.56332
2022-05-18 09:00:00,327.38687
2022-05-18 10:00:00,332.6262
2022-05-18 11:00:00,332.3881
2022-05-18 12:00:00,328.97467
2022-05-18 13:00:00,329.62988
2022-05-18 14:00:00,330.90964
2022-05-18 15:00:00,330.62396
2022-05-18 16:00:00,332.63226
2022-05-18 17:00:00,332.7185
