date,Clean Spark Spread,Clean Dark Spread
2020-08-22,-3.99,-25.81
2020-08-23,-12.22,-33.85
2020-08-24,15.44,-4.81
2020-08-25,7.75,-12.0
2020-08-26,-13.46,-32.57
2020-08-27,15.67,-3.93
2020-08-28,7.64,-10.42
2020-08-29,2.68,-16.6
2020-08-30,0.97,-18.15
2020-08-31,21.29,3.77
2020-09-01,11.07,0.31
2020-09-02,14.75,-0.2
2020-09-03,0.96,-9.94
2020-09-04,-1.57,-10.92
2020-09-05,-5.72,-17.0
2020-09-06,-3.53,-15.49
2020-09-07,5.95,-5.46
2020-09-08,0.87,-11.22
2020-09-09,-1.31,-12.5
2020-09-10,13.24,-2.86
2020-09-11,10.78,-2.19
2020-09-12,-6.05,-20.06
2020-09-13,-18.62,-32.38
2020-09-14,13.41,1.21
2020-09-15,34.93,18.87
2020-09-16,14.4,1.88
2020-09-17,7.1,-3.7
2020-09-18,6.29,-7.56
2020-09-19,0.2,-13.94
2020-09-20,0.68,-12.48
2020-09-21,23.76,12.74
2020-09-22,17.1,3.56
2020-09-23,10.06,-2.2
2020-09-24,-0.77,-10.67
2020-09-25,2.45,-6.98
2020-09-26,-6.36,-16.58
2020-09-27,-10.03,-20.14
2020-09-28,6.63,-2.39
2020-09-29,21.62,9.94
2020-09-30,13.21,1.42
2020-10-01,2.27,-7.4
2020-10-02,-2.93,-13.25
2020-10-03,-22.43,-33.49
2020-10-04,-32.05,-42.8
2020-10-05,-7.34,-16.6
2020-10-06,-4.65,-14.17
2020-10-07,-3.34,-12.06
2020-10-08,-10.27,-18.34
2020-10-09,0.29,-7.52
2020-10-10,-8.5,-17.54
2020-10-11,-7.61,-16.63
2020-10-12,7.06,-0.73
2020-10-13,6.14,-1.92
2020-10-14,-4.15,-11.94
2020-10-15,0.66,-6.03
2020-10-16,6.09,0.06
2020-10-17,-0.25,-7.2
2020-10-18,-10.61,-17.42
2020-10-19,3.31,-2.2
2020-10-20,-6.21,-11.0
2020-10-21,-8.44,-12.77
2020-10-22,-9.66,-13.61
2020-10-23,1.9,-2.32
2020-10-24,-11.73,-17.32
2020-10-25,-27.82,-33.48
2020-10-26,-2.91,-7.42
2020-10-27,-6.43,-11.31
2020-10-28,-10.14,-15.1
2020-10-29,-7.15,-13.1
2020-10-30,-9.62,-15.61
2020-10-31,-8.41,-15.7
2020-11-01,-22.1,-29.76
2020-11-02,-15.26,-22.36
2020-11-03,-3.15,-10.51
2020-11-04,0.41,-6.87
2020-11-05,-2.41,-8.81
2020-11-06,0.73,-6.36
2020-11-07,-3.69,-12.32
2020-11-08,-3.36,-12.22
2020-11-09,4.76,-3.1
2020-11-10,7.84,0.48
2020-11-11,4.6,-2.58
2020-11-12,0.79,-6.44
2020-11-13,-0.07,-6.94
2020-11-14,-4.61,-12.77
2020-11-15,-34.08,-42.27
2020-11-16,-13.19,-20.11
2020-11-17,-1.44,-9.02
2020-11-18,-3.67,-12.05
2020-11-19,-11.94,-21.22
2020-11-20,5.02,-4.72
2020-11-21,-8.44,-19.12
2020-11-22,-9.26,-19.59
2020-11-23,3.9,-4.81
2020-11-24,1.44,-6.65
2020-11-25,6.21,-1.76
2020-11-26,15.74,7.5
2020-11-27,22.75,15.74
2020-11-28,4.78,-3.86
2020-11-29,3.05,-5.76
2020-11-30,9.87,2.3
2020-12-01,10.52,4.24
2020-12-02,32.43,23.74
2020-12-03,6.39,-1.67
2020-12-04,-1.24,-9.41
2020-12-05,4.11,-6.47
2020-12-06,1.2,-10.01
2020-12-07,3.92,-6.14
2020-12-08,20.19,10.21
2020-12-09,31.94,23.96
2020-12-10,26.34,17.33
2020-12-11,2.15,-6.0
2020-12-12,0.82,-7.99
2020-12-13,-2.98,-10.66
2020-12-14,-4.42,-9.11
2020-12-15,4.35,-2.79
2020-12-16,5.19,-2.73
2020-12-17,-1.73,-8.28
2020-12-18,-3.19,-9.63
2020-12-19,-13.05,-21.65
2020-12-20,-5.43,-14.14
2020-12-21,-6.51,-13.3
2020-12-22,-21.88,-24.78
2020-12-23,-5.21,-9.25
2020-12-24,-24.97,-29.09
2020-12-25,-14.8,-18.79
2020-12-26,-31.78,-36.85
2020-12-27,-65.59,-69.76
2020-12-28,-14.14,-15.39
2020-12-29,-5.68,-8.0
2020-12-30,-5.57,-6.37
2020-12-31,-6.12,-7.36
